名称,省份,城市,区县,详细地址,完整地址,电话,经纬度
莘特培训(叉车),浙江省,宁波市,宁海县,德星路399号2层,浙江省宁波市宁海县德星路399号2层,0574-65515656;17398065655,"121.399946,29.292466"
莘特培训(叉车),浙江省,宁波市,宁海县,德星路399号2层,浙江省宁波市宁海县德星路399号2层,0574-65515656;17398065655,"121.399946,29.292466"
叉车电焊培训,浙江省,金华市,武义县,白洋街道上邵村振中路21号,浙江省金华市武义县白洋街道上邵村振中路21号,18329036486,"119.829765,28.926753"
悦心婚恋•叉车培训,浙江省,台州市,路桥区,南官大道351号,浙江省台州市路桥区南官大道351号,15868678579,"121.368403,28.572593"
叉车电工电焊培训,浙江省,绍兴市,诸暨市,开元社区何村北1555号,浙江省绍兴市诸暨市开元社区何村北1555号,18657542644,"120.182365,29.700522"
乐清叉车电焊培训,浙江省,温州市,乐清市,柳市镇排岩头村七里港大道558号,浙江省温州市乐清市柳市镇排岩头村七里港大道558号,13186820702,"120.895836,28.009745"
叉车焊工培训,浙江省,嘉兴市,桐乡市,桐乡商业广场B区106号,浙江省嘉兴市桐乡市桐乡商业广场B区106号,18267311606,"120.547385,30.616478"
义通叉车电焊电工培训,浙江省,金华市,义乌市,西城路与伏龙山北路辅路交叉口东北100米,浙江省金华市义乌市西城路与伏龙山北路辅路交叉口东北100米,15557998567,"119.986610,29.293174"
赵学仁叉车租赁,浙江省,绍兴市,诸暨市,亭凉树下村37号,浙江省绍兴市诸暨市亭凉树下村37号,13357566810,"120.364142,29.915268"
叉车电焊培训考证,浙江省,杭州市,临安区,锦城街道钱王街269-8一楼,浙江省杭州市临安区锦城街道钱王街269-8一楼,13067993634,"119.730591,30.230945"
奉化区莘特叉车培训中心,浙江省,宁波市,奉化区,江口街道江宁路8号,浙江省宁波市奉化区江口街道江宁路8号,13777115586,"121.410888,29.734399"
海宁叉车培训基地,浙江省,嘉兴市,海宁市,尖山新区采宝路321号,浙江省嘉兴市海宁市尖山新区采宝路321号,暂无电话,"120.822244,30.307314"
叉车培训电工焊工,浙江省,杭州市,富阳区,银湖街道高富路7号,浙江省杭州市富阳区银湖街道高富路7号,13605708398,"119.943839,30.095473"
甬职叉车焊工电工培训考证,浙江省,宁波市,慈溪市,三北东路与镇中路交叉口东南160米,浙江省宁波市慈溪市三北东路与镇中路交叉口东南160米,15267868209,"121.422925,30.148728"
叉车培训,浙江省,温州市,永嘉县,罗浮大街177号,浙江省温州市永嘉县罗浮大街177号,13634232173,"120.661657,28.039278"
速腾叉车电焊电工考证,浙江省,台州市,温岭市,繁昌路与嵩溪北路交叉口西20米,浙江省台州市温岭市繁昌路与嵩溪北路交叉口西20米,15325671287;15381815677,"121.261034,28.465295"
泽纤实业有限公司叉车培训基地,浙江省,宁波市,慈溪市,兴慈三路(东二中学北侧约160米),浙江省宁波市慈溪市兴慈三路(东二中学北侧约160米),暂无电话,"121.301851,30.285453"
叉车培训,浙江省,杭州市,临平区,临平区东湖北路,浙江省杭州市临平区临平区东湖北路,19857353905,"120.297131,30.464630"
涵辰叉车电焊电工挖掘机培训考证(报名处),浙江省,绍兴市,柯桥区,清河明苑5-8-117,浙江省绍兴市柯桥区清河明苑5-8-117,17681959756,"120.411967,30.125347"
艾勇教育电焊叉车培训,浙江省,宁波市,慈溪市,兴慈三路海南村中心东区184号101,浙江省宁波市慈溪市兴慈三路海南村中心东区184号101,18258719785,"121.298645,30.289166"
启航叉车培训,浙江省,嘉兴市,桐乡市,崇福镇青阳东路376号,浙江省嘉兴市桐乡市崇福镇青阳东路376号,15995538685,"120.442904,30.530922"
叉车培训,浙江省,杭州市,萧山区,杭州宗兴齿轮有限公司东门东北70米,浙江省杭州市萧山区杭州宗兴齿轮有限公司东门东北70米,暂无电话,"120.210106,30.081890"
叉车焊工培训,浙江省,湖州市,德清县,新市镇环北路300号,浙江省湖州市德清县新市镇环北路300号,18757222750,"120.288768,30.623871"
众信叉车电焊考证培训,浙江省,湖州市,长兴县,画溪街道祥和花苑5号,浙江省湖州市长兴县画溪街道祥和花苑5号,0572-6677686;15088314441,"119.898610,30.985666"
衢州方特叉车培训,浙江省,衢州市,柯城区,勤业路与振业路交叉口东120米,浙江省衢州市柯城区勤业路与振业路交叉口东120米,暂无电话,"118.907513,28.942838"
叉车培训(北大金城店),浙江省,嘉兴市,嘉善县,体育北路(北大金城)31幢16号,浙江省嘉兴市嘉善县体育北路(北大金城)31幢16号,15968303927,"120.910848,30.856220"
卓越叉车培训,浙江省,台州市,路桥区,蓬街镇盐业村股份经济合作社大楼,浙江省台州市路桥区蓬街镇盐业村股份经济合作社大楼,13750608126,"121.522682,28.569912"
叉车电焊培训(龙回店),浙江省,金华市,义乌市,龙回五区高楼1-2号楼1楼,浙江省金华市义乌市龙回五区高楼1-2号楼1楼,13738909540,"120.022391,29.293756"
鑫星安全技术培训叉车证特种设备证,浙江省,台州市,临海市,立发路235号,浙江省台州市临海市立发路235号,15558620677;15905865086,"121.146475,28.855154"
叉车电焊培训,浙江省,绍兴市,柯桥区,马鞍街道滨海工业区滨都时代瑞星园7幢115-1室,浙江省绍兴市柯桥区马鞍街道滨海工业区滨都时代瑞星园7幢115-1室,13867584448,"120.625022,30.153883"
叉车培训,浙江省,嘉兴市,海盐县,艳阳北路51号,浙江省嘉兴市海盐县艳阳北路51号,18157346615,"120.859729,30.588555"
百通叉车培训,浙江省,宁波市,余姚市,小曹娥镇建民村农场2号,浙江省宁波市余姚市小曹娥镇建民村农场2号,18712378981,"121.080199,30.252121"
金鑫叉车培训,浙江省,嘉兴市,海宁市,许村工业园孙桥路19号,浙江省嘉兴市海宁市许村工业园孙桥路19号,19706115681,"120.356937,30.451846"
启程叉车培训,浙江省,嘉兴市,秀洲区,嘉洪大道2615号,浙江省嘉兴市秀洲区嘉洪大道2615号,暂无电话,"120.643074,30.673216"
叉车培训,浙江省,嘉兴市,嘉善县,惠民街道张汇社区苏家浜19号,浙江省嘉兴市嘉善县惠民街道张汇社区苏家浜19号,0573-84017551;18906733851,"120.968009,30.833869"
湖州浦华叉车保安培训学校,浙江省,湖州市,南浔区,浔织路102号,浙江省湖州市南浔区浔织路102号,18257226068,"120.419616,30.893116"
卓越叉车培训,浙江省,台州市,温岭市,东部新区27街晨阳邻里中心1栋(二楼),浙江省台州市温岭市东部新区27街晨阳邻里中心1栋(二楼),13486864357,"121.593373,28.450070"
叉车培训,浙江省,宁波市,宁海县,梅桥路上应村7号,浙江省宁波市宁海县梅桥路上应村7号,13396690005;13586660559,"121.461921,29.377755"
叉车培训,浙江省,湖州市,德清县,雷甸镇乔莫中路80号,浙江省湖州市德清县雷甸镇乔莫中路80号,13306828066,"120.140271,30.515587"
叉车起重培训,浙江省,宁波市,北仑区,广源路28号附近,浙江省宁波市北仑区广源路28号附近,暂无电话,"121.843997,29.910201"
润辉叉车培训基地,浙江省,金华市,婺城区,苏孟乡润达街218号,浙江省金华市婺城区苏孟乡润达街218号,13586991739,"119.631459,29.032837"
